Eigenvalues rho
2069.67 0.0196078
2112.95 0.0392157
2184.3 0.0588235
2194.19 0.0784314
2212.93 0.0980392
2270.99 0.117647
2273.03 0.137255
2347.39 0.156863
2420.87 0.176471
2496.74 0.196078
2576.32 0.215686
2680.05 0.235294
3194.45 0.254902
3261.58 0.27451
3381.98 0.294118
3522.69 0.313725
3634.11 0.333333
3976.25 0.352941
4102.83 0.372549
4298.56 0.392157
4624.25 0.411765
4795.95 0.431373
4987.58 0.45098
5351.51 0.470588
5670.38 0.490196
5842.5 0.509804
6462.04 0.529412
6726.62 0.54902
6958.18 0.568627
7283.06 0.588235
7529.97 0.607843
7696.14 0.627451
7965 0.647059
8221.74 0.666667
8299.4 0.686275
8432.69 0.705882
8523.53 0.72549
8610.54 0.745098
9167.58 0.764706
9222.82 0.784314
9285.46 0.803922
9356.84 0.823529
9419.84 0.843137
9477.43 0.862745
9576.2 0.882353
9587.31 0.901961
9600.36 0.921569
9646.65 0.941176
9671.52 0.960784
9692.49 0.980392
